,m,x,r,n,uj,d,v,ns,vn,p,nr,y,f,an,nt,c,a,zg,j,eng,l,df,q,g,ul,ug,nz,ad,t,i,uz,b,s,ud,uv,nrt,u,k,nrfg,z,ag,o,mq,ng,e,h,vq,rz,vg,vd,yg,rr,tg,vi,dg
豁然开朗,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(1, 1174)",,,,,,,,,,,,,,,,,,,,,,,,,
宝贵,,,,,,,,,,,"(2, 4753)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一票,"(3, 18687)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投给,,,,,,,,,"(1, 2566)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GH,,,,,,,,,,,,,,,,,,,,"(1, 2157)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
当了,,,,,,,,,,"(3, 11056)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15390,"(1, 18687)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
热血沸腾,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(1, 1174)",,,,,,,,,,,,,,,,,,,,,,,,,
一如,,,,,,,,,,,,,,,,"(1, 9774)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
模样,,,,"(1, 56016)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
恨不得,,,,,,"(5, 16573)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17788,"(1, 18687)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
家人,,,,"(5, 56016)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
客家人,,,,"(3, 56016)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
白家,,,,"(1, 56016)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
土家,,,,"(1, 56016)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
苗家,,,,"(1, 56016)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
瑶家,,,,"(1, 56016)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交州人,,,,,,,,,,,,,,,"(1, 424)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
侗,,,,,,,,,,,,,,,,,,"(1, 1156)","(3, 733)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
回教,,,,,,,,,,,,,,,,,,,,,,,,,,,"(1, 3186)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
剥夺,,,,,,,"(3, 55737)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5505,"(1, 18687)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
得罪,,,,,,,"(5, 55737)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15212,"(1, 18687)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
俄罗斯,,,,,,,,"(10, 16415)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
华商,,,,,,,,,,,,,,,,,,,,,,,,,,,"(1, 3186)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
毛子,,,,"(9, 56016)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
攻击,,,,,,,"(23, 55737)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
К,,"(1, 47960)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
у,,"(1, 47960)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
р,,"(1, 47960)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
с,,"(1, 47960)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
к,,"(1, 47960)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
喉咙,,,,"(2, 56016)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
刺,,,,,,,"(1, 55737)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一刀,"(2, 18687)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
不幸,,,,,,,,,,,,,,,,,"(2, 9827)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
罹难,,,,,,,"(1, 55737)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15668,"(1, 18687)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
按照,,,,,,,,,,"(17, 11056)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
智人,,,,"(1, 56016)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
最初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(3, 2381)",,,,,,,,,,,,,,,,,,,,,,,,,,
问主,,,,"(1, 56016)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一员,"(4, 18687)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24457,"(1, 18687)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
兢兢业业,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(3, 1174)",,,,,,,,,,,,,,,,,,,,,,,,,
朝秦暮楚,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(1, 1174)",,,,,,,,,,,,,,,,,,,,,,,,,
15745,"(1, 18687)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20564,"(1, 18687)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中文平台,,,,,,,,"(1, 16415)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
上用,,,,,,,"(1, 55737)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中华人民共和国,,,,,,,,"(5, 16415)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15383,"(1, 18687)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23831,"(1, 18687)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加分,,,,,,,"(6, 55737)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23618,"(1, 18687)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
手势,,,,"(1, 56016)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19173,"(1, 18687)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
炎黄,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(1, 186)",,,,,,,,,,,,,,,
分支,,,,"(2, 56016)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14831,"(1, 18687)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
掺杂,,,,,,,"(1, 55737)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21201,"(1, 18687)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大胆,,,,"(1, 56016)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
预测,,,,,,,,,"(4, 2566)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
坐等,,,,,,,"(1, 55737)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
进一步,,,,,,"(7, 16573)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高潮,,,,,,,,,,,"(4, 4753)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
镇压,,,,,,,"(6, 55737)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
促使,,,,,,,"(2, 55737)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
两极分化,,,,"(1, 56016)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rap,,,,,,,,,,,,,,,,,,,,"(2, 2157)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
领带,,,,"(1, 56016)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16716,"(1, 18687)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
提问者,,,,"(3, 56016)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
猥琐,,,,,,,,,,,,,,"(4, 98)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
无知,,,,,,,"(9, 55737)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
挑,,,,,,,"(7, 55737)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
事端,,,,"(1, 56016)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6102,"(1, 18687)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
句,,,,,,,,,,,,,,,,,,,,,,,"(47, 597)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
懵,,,,,,,"(5, 55737)",,,,,,,,,,,,,,"(1, 4726)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18430,"(1, 18687)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
所在地,,,,"(1, 56016)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
例,,,,"(1, 56016)",,,"(3, 55737)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15523,"(1, 18687)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
名为,,,,,,,"(3, 55737)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
丑闻,,,,"(1, 56016)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
书,,,,"(9, 56016)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
开头,,,,,,,"(5, 55737)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16132,"(1, 18687)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16440,"(1, 18687)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
举起,,,,,,,"(2, 55737)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
屠刀,,,,"(1, 56016)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23846,"(1, 18687)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
挺能,,,,,,,"(1, 55737)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21510,"(1, 18687)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
将近,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(5, 2381)",,,,,,,,,,,,,,,,,,,,,,,,,,
病夫,,,,"(6, 56016)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
正在,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(17, 2381)",,,,,,,,,,,,,,,,,,,,,,,,,,
崛起,,,,,,,"(5, 55737)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
争夺,,,,,,,"(3, 55737)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
头把交椅,,,,"(2, 56016)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23496,"(1, 18687)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24024,"(1, 18687)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大阪,,,,,,,,"(12, 16415)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
直美,,,,,,,,"(1, 16415)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
八村,,,,"(1, 56016)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
垒,,,,,,,"(1, 55737)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
广告,,,,"(8, 56016)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23456,"(1, 18687)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
疑虑,,,,,,,"(1, 55737)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23106,"(1, 18687)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
听话,,,,,,,"(11, 55737)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21882,"(1, 18687)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
第四年,"(1, 18687)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
刚,,,,,,"(35, 16573)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
心想,,,,"(2, 56016)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交,,,,,,,"(7, 55737)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一方面,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(6, 78)",,,,,,,,,,,,
练习,,,,,,,"(2, 55737)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
口语,,,,"(4, 56016)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
另一方面,,,,,,,,,,,,,,,,"(3, 9774)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17440,"(1, 18687)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23427,"(1, 18687)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
字面上,,,,"(3, 56016)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
不痛不痒,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(2, 1174)",,,,,,,,,,,,,,,,,,,,,,,,,
its,,,,,,,,,,,,,,,,,,,,"(1, 2157)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ok,,,,,,,,,,,,,,,,,,,,"(2, 2157)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21703,"(1, 18687)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20864,"(1, 18687)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
呼和浩特,,,,,,,,"(2, 16415)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6058,"(1, 18687)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,"(1, 18687)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
届,"(4, 18687)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大会,,,,"(5, 56016)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
八百年,"(1, 18687)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
法理,,,,"(1, 56016)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
承认,,,,,,,"(31, 55737)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
继承者,,,,"(2, 56016)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5823,"(1, 18687)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
第一眼,"(3, 18687)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
炸裂,,,,,,,"(1, 55737)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23254,"(1, 18687)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
种植园主,,,,"(1, 56016)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
工业,,,,"(4, 56016)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
打败,,,,,,,"(3, 55737)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
解放,,,,,,,"(6, 55737)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
黑奴,,,,"(17, 56016)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23885,"(1, 18687)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
蓝州,,,,,,,,"(1, 16415)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加利福尼亚,,,,,,,,"(1, 16415)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
实施,,,,,,,"(6, 55737)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
红州,,,,,,,,"(2, 16415)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
德克萨斯,,,,,,,,"(1, 16415)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16006,"(1, 18687)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
古语,,,,,,,,,,,,,,,,,,,,,,,,,,,"(1, 3186)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
执着,,,,,,,"(2, 55737)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22091,"(1, 18687)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
几斤几两,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(1, 1174)",,,,,,,,,,,,,,,,,,,,,,,,,
守规矩,,,,,,,,,,,,,,,,,,,,,"(3, 4726)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
思考,,,,,,,"(13, 55737)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
有着,,,,,,,"(12, 55737)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
底蕴,,,,"(1, 56016)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15129,"(1, 18687)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19139,"(1, 18687)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
分享,,,,,,,"(8, 55737)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
误解,,,,,,,"(6, 55737)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17974,"(1, 18687)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
占优势,,,,,,,"(5, 55737)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
延续下去,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(1, 1174)",,,,,,,,,,,,,,,,,,,,,,,,,
23440,"(1, 18687)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
因素,,,,"(16, 56016)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
饮食,,,,"(3, 56016)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
卫生习惯,,,,"(2, 56016)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5653,"(1, 18687)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
手上,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(4, 1085)",,,,,,,,,,,,,,,,,,,,,,
秒杀,,,,"(2, 56016)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21903,"(1, 18687)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
内地,,,,"(3, 56016)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
南疆,,,,,,,,"(2, 16415)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5655,"(1, 18687)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
观察者,,,,"(3, 56016)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
骁话,,,,"(2, 56016)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"(14, 18687)","(2, 47960)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24438,"(1, 18687)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
放水,,,,,,,"(1, 55737)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投票,,,,"(9, 56016)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
辞职,,,,,,,"(3, 55737)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23141,"(1, 18687)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20809,"(1, 18687)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
魏晋,,,,,,,,,,,"(1, 4753)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20322,"(1, 18687)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20167,"(1, 18687)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
信息,,,,"(11, 56016)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
双向,,,,"(3, 56016)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18338,"(1, 18687)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
名贵,,,,"(3, 56016)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
搭配,,,,,,,"(6, 55737)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
普世,,,,,,,,,,,"(6, 4753)",,,,,,,,,,,,,,,,"(2, 3186)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
食用,,,,"(2, 56016)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
回老家,,,,"(2, 56016)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24082,"(1, 18687)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
害羞,,,,,,,,,,,,,,,,,"(2, 9827)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
脸红,,,,"(2, 56016)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
神,,,,"(5, 56016)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
